question,answer
"管理者や職人などといったプロジェクトメンバー全員でプロジェクトの進捗状況を共有したいですが、可能ですか？","可能です。KANNAアプリをインストールしている方であれば、プロジェクトに関わるメンバーを案件ごとに招待することができます。"
"入力作業は、アプリを使い慣れていない作業者でも簡単にできますか？","KANNAは直感的に利用できるUIになっているため、普段アプリを使い慣れていない方でも簡単に操作いただくことができます。KANNAの利用者様の4人に1人は50歳以上で、70歳以上のご利用者様もいらっしゃいます。"
"入力作業は、どのような端末からできますか？","KANNAへの入力作業は、WEBとアプリ（スマートフォン・タブレット）から行っていただくことが可能です。"
"クラウド上にあるデータはダウンロードすることができますか？","基本的に、クラウド上にアップロードされたデータはすべて、インターネット環境下であればダウンロードすることができます。また、保存期間もないため焦って保存をする必要もありません。"
"スマートフォンやタブレットで工事写真を撮影してアップロードすることは可能ですか？","可能です。お手持ちのスマートフォンもしくはタブレットからいつでも好きなタイミングで写真をアップロードしていただけます。"
"アップロードされた写真の保存期間はどのくらいですか？","写真の保存期間はなく、アプリをご利用いただいている間、写真はいつでも好きなタイミングで保存することができます。保存期間がない分、焦って写真を保存する必要はありません。"
"撮影した写真をその場でクラウド上にアップロードすることは可能ですか？","インターネット環境が整っていれば、お手持ちのスマートフォンやタブレットから、撮影した写真をその場でクラウド上へアップロードしていただくことができます。KANNAのアプリを開いた状態で「写真の追加」のボタンをタップするだけで、写真を好きなだけアップロードすることができます。"
"報告書のテンプレートはどのようなものですか？","「表紙あり」と「表紙なし」の2つのテンプレートの中からお選びいただくことができます。"
"KANNAで作成した報告書を紙で印刷することはできますか？","報告書はPDF形式・Excel形式で完成するため、KANNAで報告書を作成した後に、別途印刷をしていただく必要があります。"
"チャットにはどのような機能がついていますか？","写真や資料をチャット上で共有できたり、特定の相手にメンションをつけてメッセージを送ることも可能です。また、既読機能もついているため、誰がメッセージを読んだのかも把握することができます。"
"チャット・報告の機能はスマートフォンアプリでのみ利用できますか？","チャット・報告の機能は、パソコンとスマートフォンアプリの両方からご利用いただくことが可能です。"
"電子小黒板機能は無料で利用することができますか？","電子小黒板機能はKANNAのオプション機能となっています。詳細については、営業担当までお問い合わせください。"
